Depth,Resistivity,Gamma Ray,Total Porosity,Bulk Density,Actual Poisson Ratio(u),Actual Young Modulus(E),Predicted Poisson Ratio(u),Predicted Young Modulus(E)
6871.638319,0.034128838,0.252570519,0.251892481,0.827388624,0.28173248,5868760.932,0.283405861,5829229.035
6872,0.033740498,0.253765759,0.277131639,0.818896889,0.281340207,5896571.53,0.282016179,5898134.046
6873.5,0.031856452,0.288517588,0.284095118,0.78859818,0.279852424,5861879.604,0.278343541,5760602.417
6874.970235,0.03522273,0.274222662,0.237130417,0.749548452,0.284598206,5599710.642,0.279795277,5660795.495
6874.998645,0.035342233,0.274129142,0.23823662,0.750722135,0.284610622,5597831.404,0.281734507,5650938.397
6875,0.035477539,0.273783048,0.237350915,0.74993465,0.284648217,5595079.837,0.28039024,5644185.394
6875.618112,0.037242974,0.272356954,0.260933697,0.773754482,0.284857413,5569250.688,0.28374049,5574494.305
6876.237579,0.037680941,0.271356347,0.267429829,0.791518003,0.285058672,5593167.787,0.282472582,5568817.839
6876.398199,0.037887721,0.271116013,0.265990059,0.796472641,0.285115053,5604425.3,0.282240346,5590810.592
6876.874187,0.036639085,0.272287713,0.248959212,0.80721269,0.285250992,5639275.41,0.285110479,5624005.582
6878.5,0.048205686,0.279132526,0.288243574,0.78705354,0.285892421,5726088.592,0.279422608,5702403.558
6879.334913,0.039368297,0.257436047,0.241871888,0.759576535,0.283887611,5767658.652,0.285710847,5841038.803
6880.206103,0.039687824,0.23877213,0.217798281,0.753304411,0.281716965,5793478.665,0.285811021,5856756.706
6881,0.043278563,0.243474595,0.24157345,0.732064352,0.281927397,5852364.787,0.281565819,5894612.586
6881.133878,0.043813273,0.24358449,0.247960397,0.724371643,0.282110965,5867651.476,0.278969476,5817988.057
6882.432248,0.062409398,0.242560468,0.304913551,0.656231777,0.282809235,5944502.147,0.253421997,5831967.824
6882.5,0.067704181,0.241749444,0.302540929,0.653192652,0.282964774,5951504.045,0.25598678,5835946.205
